"Kabul","あける","Afghanistan","to clear out","v1, vt",
"Tirane","あける","Albania","to clear out","v1, vt",
"Algiers","あける","Algeria","to clear out","v1, vt",
"Andorra la Vella","あける","Andorra","to clear out","v1, vt",
"Luanda","あける","Angola","to clear out","v1, vt",
"Saint John's","あける","Antigua and Barbuda","to clear out","v1, vt",
"Buenos Aires","あける","Argentina","to clear out","v1, vt",
"Yerevan","あける","Armenia","to clear out","v1, vt",
"Canberra","あける","Australia","to clear out","v1, vt",
"Vienna","あける","Austria","to clear out","v1, vt",
"Baku","あける","Azerbaijan","to clear out","v1, vt",
"Rangoon","あける","Burma","to clear out","v1, vt",
"Bujumbura","あける","Burundi","to clear out","v1, vt",
"Phnom Penh","あける","Cambodia","to clear out","v1, vt",
"Yaounde","あける","Cameroon","to clear out","v1, vt",